"Stand_ID","Min_Tot_Density","Mean_Tot_Density","Max_Tot_Density","Min_BR_Density","Mean_BR_Density","Max_BR_Density","Min_Absent_Density","Mean_Absent_Density","Max_Absent_Density"
"Amphitheater Lake",1180,1646.66666666667,2000,0,17.7777777777778,80,1100,1628.88888888889,1980
"Boundary Lake",700,2620,4420,0,0,0,700,2620,4420
"Carr Lake",240,300,420,0,0,0,240,300,420
"Cascade",20,353.333333333333,1560,0,13.3333333333333,40,20,340,1540
"Death Canyon Shelf",380,503.333333333333,620,0,33.3333333333333,80,300,470,620
"Delta Lake",720,912.5,1200,0,12.5,20,700,900,1180
"Forellen",840,1725.71428571429,2240,0,0,0,840,1725.71428571429,2240
"Garnet",420,530,640,0,0,0,420,530,640
"Hanging Canyon",740,915.555555555556,1080,0,4.44444444444444,20,740,911.111111111111,1080
"Holly Lake",200,415.555555555556,580,0,2.22222222222222,20,200,413.333333333333,580
"Jackson Hole Mountain Resort",940,1295,1720,0,50,100,940,1245,1700
"Lake Taminah",500,1087.77777777778,2060,0,51.1111111111111,220,500,1036.66666666667,1840
"Marion Lake",20,25,40,0,10,20,0,15,40
"Mount Hunt",100,136.666666666667,280,0,0,0,100,136.666666666667,280
"Mount Moran",320,433.333333333333,520,0,26.6666666666667,60,320,406.666666666667,500
"North Fork Cascade",360,766.666666666667,3420,0,21.1111111111111,40,320,745.555555555556,3400
"Ortenberger Lake",100,272,660,20,24,40,80,248,620
"Paintbrush",0,10,20,0,0,0,0,10,20
"South Fork Cascade",80,180,320,0,16,60,60,164,320
"Static Divide",220,682.222222222222,2640,0,11.1111111111111,60,200,671.111111111111,2640
"Stewarts Draw",1060,1732.22222222222,2720,0,43.3333333333333,80,1000,1688.88888888889,2680
"Survey Peak",900,1011.42857142857,1200,40,94.2857142857143,140,760,917.142857142857,1100
"Teewinot Apex",80,106.666666666667,220,0,17.7777777777778,40,40,88.8888888888889,200
"Teewinot South",280,525,800,0,0,0,280,525,800
"Twentyfive Short",0,0,0,0,0,0,0,0,0
"Upper Death Canyon",20,60,100,0,5,20,20,55,80
